layer,neuron_id,n_queries,active_count,active_rate,unique_docs,top_doc_token_id,top_doc_freq,top_doc_frac,doc_entropy,layer_dir,file
20,2617,1000,53,0.053,50,33905,53,0.02,3.912023005428145,L20,neuron_002617_exp3_summary.csv
20,2921,1000,33,0.033,50,34344,33,0.02,3.912023005428145,L20,neuron_002921_exp3_summary.csv
20,2940,1000,30,0.03,50,41467,30,0.02,3.912023005428145,L20,neuron_002940_exp3_summary.csv
20,2959,1000,29,0.029,50,40899,29,0.02,3.912023005428145,L20,neuron_002959_exp3_summary.csv
20,2983,1000,29,0.029,50,32116,29,0.02,3.912023005428145,L20,neuron_002983_exp3_summary.csv
20,2987,1000,21,0.021,50,35418,21,0.02,3.912023005428145,L20,neuron_002987_exp3_summary.csv
20,3081,1000,24,0.024,50,40297,24,0.02,3.912023005428145,L20,neuron_003081_exp3_summary.csv
20,3123,1000,18,0.018,50,32825,18,0.02,3.912023005428145,L20,neuron_003123_exp3_summary.csv
20,3235,1000,23,0.023,50,40293,23,0.02,3.912023005428145,L20,neuron_003235_exp3_summary.csv
20,3294,1000,31,0.031,50,35574,31,0.02,3.912023005428145,L20,neuron_003294_exp3_summary.csv
20,3531,1000,30,0.03,50,40621,30,0.02,3.912023005428145,L20,neuron_003531_exp3_summary.csv
20,3613,1000,31,0.031,50,37841,31,0.02,3.912023005428145,L20,neuron_003613_exp3_summary.csv
20,3755,1000,21,0.021,50,32119,21,0.02,3.912023005428145,L20,neuron_003755_exp3_summary.csv
20,3789,1000,36,0.036,50,32102,36,0.02,3.912023005428145,L20,neuron_003789_exp3_summary.csv
20,3882,1000,24,0.024,50,36052,24,0.02,3.912023005428145,L20,neuron_003882_exp3_summary.csv
21,42,1000,43,0.043,50,38737,43,0.02,3.912023005428145,L21,neuron_000042_exp3_summary.csv
21,97,1000,22,0.022,50,32120,22,0.02,3.912023005428145,L21,neuron_000097_exp3_summary.csv
21,250,1000,19,0.019,50,33095,19,0.02,3.912023005428145,L21,neuron_000250_exp3_summary.csv
21,325,1000,22,0.022,50,39373,22,0.02,3.912023005428145,L21,neuron_000325_exp3_summary.csv
21,446,1000,18,0.018,50,33728,18,0.02,3.912023005428145,L21,neuron_000446_exp3_summary.csv
21,518,1000,21,0.021,50,36886,21,0.02,3.912023005428145,L21,neuron_000518_exp3_summary.csv
21,576,1000,40,0.04,50,35932,40,0.02,3.912023005428145,L21,neuron_000576_exp3_summary.csv
21,658,1000,34,0.034,50,33945,34,0.02,3.912023005428145,L21,neuron_000658_exp3_summary.csv
21,1087,1000,29,0.029,50,36736,29,0.02,3.912023005428145,L21,neuron_001087_exp3_summary.csv
21,1176,1000,28,0.028,50,39317,28,0.02,3.912023005428145,L21,neuron_001176_exp3_summary.csv
21,1322,1000,21,0.021,50,40814,21,0.02,3.912023005428145,L21,neuron_001322_exp3_summary.csv
21,1349,1000,27,0.027,50,41666,27,0.02,3.912023005428145,L21,neuron_001349_exp3_summary.csv
21,1408,1000,25,0.025,50,34023,25,0.02,3.912023005428145,L21,neuron_001408_exp3_summary.csv
21,1600,1000,42,0.042,50,41527,42,0.02,3.912023005428145,L21,neuron_001600_exp3_summary.csv
21,1605,1000,23,0.023,50,38780,23,0.02,3.912023005428145,L21,neuron_001605_exp3_summary.csv
21,1612,1000,26,0.026,50,32114,26,0.02,3.912023005428145,L21,neuron_001612_exp3_summary.csv
21,1803,1000,52,0.052,50,34243,52,0.02,3.912023005428145,L21,neuron_001803_exp3_summary.csv
21,1827,1000,40,0.04,50,35936,40,0.02,3.912023005428145,L21,neuron_001827_exp3_summary.csv
